Global Rank,Company,Sales ($billion),Profits ($billion),Assets ($billion),Market Value ($billion),Country,Continent,Latitude,Longitude,,,Labels
24,AT&T,127.4,7.3,272.3,200.1,USA,North America,32.7791,-96.8003,,,"No.24.AT&T Inc. is an American multinational conglomerate holding company, Delaware-registered but it is headquartered at Whitacre Tower in Downtown Dallas, Texas. It is the world’s largest telecommunications company, and the second largest provider of mobile telephone services."
25,Allianz,140.3,6.8,915.8,66.4,Germany,Europe,48.1351,11.582,,,"No.25. Allianz SE is a German multinational financial services company headquartered in Munich, Germany. Its core businesses are insurance and asset managementAllianz SE is a German multinational financial services company headquartered in Munich, Germany. Its core businesses are insurance and asset management"
26,Sinopec-China Petroleum,411.7,10.1,200,106.9,China,Asia,39.86166,116.195397,,,"No.26.China Petroleum & Chemical Corporation, or Sinopec, is a Chinese oil and gas enterprise based in Beijing. It is listed in Hong Kong and also trades in Shanghai and New York. "
27,Mitsubishi UFJ Financial,59,11.9,2653.1,85.7,Japan,Asia,36.204824,138.252924,,,"No.27.Mitsubishi UFJ Financial Group, Inc. is a Japanese bank holding and financial services company headquartered in Chiyoda, Tokyo, Japan. MUFG holds assets of around US$2,459 billion as of 2016 and is one of the main companies of the Mitsubishi Group."
28,Bank of America,100.1,4.2,2210,135.5,USA,North America,35.2271,-80.8431,,,"No.28.The Bank of America Corporation is an American multinational investment bank and financial services holding company headquartered in Charlotte, North Carolina. Founded in San Francisco, Bank of America was formed through NationsBank's acquisition of BankAmerica in 1998. "
29,China Mobile,88.8,20.5,168.7,213.8,Hong Kong,Asia,22.3193,114.1694,,,"No.29.China Mobile is the trade name of both China Mobile Limited and its ultimate controlling shareholder, China Mobile Communications Group Co., Ltd., a Chinese state-owned company."
30,ENI,163.7,10,185.2,86.3,Italy,Europe,41.9028,12.4964,,,"No.30.Eni S.p.A. is an Italian multinational oil and gas company headquartered in Rome. Considered one of the seven ""supermajor"" oil companies in the world, it has operations in 66 countries with a market capitalization of US$55.61 billion, as of 31 December 2019."
31,Toyota Motor,224.5,3.4,371.3,167.2,Japan,Asia,35.0183,137.252924,,,"No.31.The Toyota Motor Corporation is a Japanese multinational automotive manufacturer headquartered in Toyota, Aichi, Japan. It was founded by Kiichiro Toyoda and incorporated on August 28, 1937. "
33,Vodafone,74.4,11.1,219.9,135.7,UK,Europe,51.4014,-1.3231,,,"No.33.Vodafone Group plc is a British multinational telecommunications company. Its registered office and global headquarters are in Newbury, Berkshire, England. It predominantly operates services in Asia, Africa, Europe, and Oceani"
34,IBM,104.5,16.6,119.2,239.5,USA,North America,41.1265,-73.714,,,"No.34.International Business Machines Corporation is an American multinational technology company headquartered in Armonk, New York, with operations in over 170 countries"
35,Proctor & Gamble,83.3,12.9,139.9,208.5,USA,North America,39.1031,-84.512,,,"No.35.The Procter & Gamble Company is an American multinational consumer goods corporation headquartered in Cincinnati, Ohio, founded in 1837 by William Procter and James Gamble"
36,Daimler,150.8,8,211.9,64.1,Germany,Europe,48.7758,9.1829,,,"No.36.Daimler AG is a German multinational automotive corporation headquartered in Stuttgart, Baden-Württemberg, Germany. It is one of the world's leading car and truck manufacturers. Daimler-Benz was formed with the merger of Benz & Cie. and Daimler Motoren Gesellschaft in 1926"
37,Pfizer,59,14.6,185.8,201.4,USA,North America,40.6228,-74.004,,,"No.37. Pfizer Inc. is an American multinational pharmaceutical corporation. Pfizer is one of the world's largest pharmaceutical companies, and was ranked 64th on the 2020 Fortune 500 list of the largest U.S. corporations by total revenue, at $47.644 billion as of December 31, 2020. Headquarters: New York, New York, United States."
38,Statoil,126.8,12.4,140.2,78.1,Norway,Europe,58.97,5.7331,,,"No.38.Equinor ASA (formerly Statoil and StatoilHydro) is a Norwegian state-owned multinational energy company headquartered in Stavanger. It is primarily a petroleum company, operating in 36 countries with additional investments in renewable energy."
39,AXA Group,147.5,5.3,1005.4,45.3,France,Europe,48.827638,2.3522,,,No.39.Axa S.A. is a French multinational insurance firm. The head office is in the 8th arrondissement of Paris. It also provides investment management and other financial services.
40,Commonwealth Bank,47.8,7.3,735.2,117.5,Australia,Oceania,-33.8688,151.2093,,,"No.40.The Commonwealth Bank of Australia, or CommBank, is an Australian multinational bank with businesses across New Zealand, Asia, the United States and the United Kingdom"
